origin,translation
"Casa, altra porzione del terzo appartamento","house, another portion of the third apartment"
"Casa, terzo soler","house, third floor"
quattro case in soler,four houses in soler
Casotto,hut
un loghetto,a small lodge
bottega da sartor e casa,tailor's shop and house
bottega da dorador,goldsmith's shop
malvasia con magazen,malvasia with warehouse
"casa e due botteghe, una di sartor, l'altra di intagliador","house and two shops, one of a tailor, the other of a carver"
casa a pepian e orto nella stessa cereria,house with pepian and garden in the same waxworks
soler di sotto,lower ground floor
Casa 2 affittanze vuoto,house 2 empty rents
Casetta Propria,own little house
due magazzeni vuoti,two empty warehouses
Scola de Mercanti per loro uso,school of merchants for their use
Bottega da Chiodi,nail shop
casa in soler e bottega da marcer,house on ground and shop by the sea
bottega da zavater,shoemaker's shop
"casa, soler di sora","house, upper floor"
case due vuote,two empty houses
due case e forno,two houses and oven
"Casa, e Casette con Chiovere dette di San Rocco","house, and small houses with cloisters called san rocco"
Casa e Bottega di Fruttariol,house and fruit shop
Inviamente,shipment
Bottega di masteller,workshop of stave makers
"casa, soler di sotto","house, land below"
bottega da luganegher e casa a pepian,butcher shop and house in pepian
Magazen con altro luogo di sopra entro la casa del pignatter da affitar,warehouse with another place above within the house of the potter to rent
Casa Inaffittata,unrented house
Botega due d'Aque,shop two of water
appartamento di casa e bottega,apartment of house and shop
"casa, bottega marcer, terreno","house, shopkeeper's shop, land"
bottega di botter,barrel maker's shop
Altra portion della suddetta casa,another portion of the aforementioned house
luogo che serve di introito per la casa,place that serves as income for the house
Una casetta a pepian,a little house in pepian
Casa e bottega da calegher a pepiano,house and shoemaker's shop in pepiano
magazen da oglio,oil warehouse
casa e bottega biavariol,house and biavariol shop
Campo Santo,holy field
bottega uso proprio,shop for personal use
Due Casette vuote,two empty small houses
Casa di sopra,upper house
bottega e casa da boter,shop and butter house
Case numero quattro,case number four
Bottega da erbariol,herbalist's shop
casa soler in due parti,soler house in two parts
Altro Appartamento di Casa,other apartment of house
Casa e Bothegha da Fruttarol per suo uso,house and fruit shop for his use
"Casa, e Bottega da Calderer","house, and calderer's shop"
Chiesa e monastero di Santa Maria della Salute,church and monastery of santa maria della salute
Apartamento di casa propria,own house apartment
"casa e bottega, vuota","house and shop, empty"
Tra camere in detta casa dominicali per proprio uso,among rooms in said manor house for personal use
Bottegha da confetture,jam shop
"Casa, e Bottega da dipintor","house, and painter's workshop"
inviamento da oglio,sending from oglio
casa dell'orologio,clock house
Casa e bottega da seda,house and silk shop
casa e bottega di calegher,house and cobbler's shop
casa e bottega da catrame,house and tar shop
Casa a pepian d'uso suo,house for his own use
"Bottega, e Porzione di Volta","workshop, and portion of vault"
casa e bottega da stuer,house and shop to manage
Casa in due appartamenti vuoto,house in two vacant apartments
bottega da careghetta,small boat workshop
"Altra parte della casa grande in nove soleri,parte vuota,parte affittata a casin","another part of the big house in nine suns, part empty, part rented to casin"
Casa Bottega e Magazeni,house shop and warehouses
graner,barn
"casa in soler, orto e fabrica di colori","house in soler, garden and color factory"
altra metà di detta casa,other half of said house
casa d'abitazione,residential house
botteghe due in una da oglio di mandorle dolci,two shops in one from sweet almond oil
Casa Sola in due Appartamenti,single house in two apartments
casa ossia casin di nobil homini,house or noble men's small house
"Cas in soler in tre appartamenti, secondo","houses in ground in three apartments, according to"
Casa sotto il portico,house under the porch
casa in soler e bottega da formagier,house in soler and cheesemaker's shop
Altra portion di casa in soler,another portion of house on lease
case due unite,two united houses
Inviamento della suddeta bottega da zavatter,sending of the aforementioned cobbler's shop
Casa e bottega forner,house and baker's shop
Ospedal,hospital
casa in soler e bottega da barbier,house in soler and barber's shop
Casa il soler,house the plot
camera a mezza scala,half-scale room
bottega cioè magazen con volta,shop namely warehouse with vault
Bottega di Special,special workshop
Casa e Botega da Bracheta,house and shop from bracheta
casa affitata,rented house
Bottegha da Marzer,shop from the warehouse
posta di Breza,breza mail
Statio da erbarol,herb seller's stand
Gua statio,land station
due case,two houses
Bottega da Pettener,pettener's workshop
Casa e bottegha da sartor,house and tailor's shop
"casa, due luochi","house, two places"
altra porzione di bottega da calderer,another portion of the coppersmith's shop
"Casa, e Entrata rideta in Bottega d'acque","house, and income earned in the water shop"
Casa in soler abitata dagli stessi,house on the ground floor inhabited by the same
Casa a pepiano e bottega da furttarol,house with hipped roof and shop for thief
"bottega, accanto altra bottega","shop, next to another shop"
"Casa, et Bottega da Casseler","house, and shop for the cashier"
Bottegha da Marzeretto,marzeretto's shop
Appartamento di mezzo,mid-level apartment
Bottega di Mandoler,mandoler's workshop
metà di forno,half of oven
In detta casa in soler,in this house on the ground floor
altro luoco vicino le botteghe,another place near the workshops
Bottega da Frutarol alla Scala e Magazen a Meza Scala,fruit shop at the staircase and warehouse at mid-staircase
casa e bottega vuota vuota,empty house and shop
casa n. 21,house no. 21
appartamento di casa in soler con magazen,apartment in house with warehouse in soler
Inviamento della Malvasia,sending of the malvasia
botteghe n.2,shops no. 2
Casa habitata con due graneri di lor raggione e per lor uso,house inhabited with two granaries of their reason and for their use
Casa e bottega con inviamento da marcer,house and shop with shipment from the sea
casa e bottega da Guasieghe,house and shop from Guasieghe
Casa e Bottegha Callegher,house and cobbler shop
Una casa in soler,a house in soler
Casa primo appartamento,first apartment house
"Casa, e Bottegha da Tesser","house, and weaving shop"
Casa in 2 soleri,house in 2 solar
bottega da remer,boatmaker's shop
Inviamento della suddetta bottegha,sending of the aforementioned shop
terzo appartamento,third apartment
casa e bottega da scatole,house and box shop
Canevin,draftsman
casa e bottega da medicina,house and medicine shop
Casa con bottega di scaletter,house with staircase shop
Casa e bottega e magaze,house and shop and warehouse
casa e bottega di barbier con magazen,house and barber shop with warehouse
Case tre in soler e una a pepian,three houses on the upper floor and one on the mezzanine
bottega da zavater con camera unita,shoemaker's shop with attached room
Casa e pepian et il soler,house and land and the upper floor
"Appartamento della antedetta Casa, con Magazeno Inaffittati","apartment of the aforementioned house, with unrented warehouse"
Libertà numero 5,freedom number 5
bottega da vitello,veal shop
Fontico di farina publico,public flour warehouse
appartamento di sotto,lower apartment
Due magazeni,two warehouses
Bottega da indorador,goldsmith's workshop
Casa bottega Favro,favro house shop
Scuola di Santa Maria dei Burchieri,school of saint mary of the burchieri
posta di feltre,feltre post
Libertà numero 22 vuota,empty freedom number 22
libertà del traghetto in fazza il fontico,freedom of the ferry in fazza the granary
casa e bottega da capeller,house and hatter's shop
Bottega e tre Appartamenti,workshop and three apartments
Casa e bottega da manghaner,house and shop for the grocer
Posto,place
altra casa,another house
terzo appartamento di casa,third apartment of the house
bottega da capeler,hatmaker's shop
Bottega Casarol,casarol workshop
Casa di ressidenza,residence house
Bottega da biavarol e posta da oglio,workshop for glassmaking and a place for oil
Aprile proprio,own april
"Casa, et Bottega da Vernize","house, and varnish workshop"
bottega,shop
casa con magazen e volta,house with warehouse and vault
Appartamento di sopra,upper apartment
Passalitio per passar dal Bastion alla Caneva,passage to go from the bastion to the cellar
teatro di san Moisè,theater of san Moisè
Casa e bottega di scultor,house and sculptor's workshop
Bottega con altra contigua ed una casetta con volta,workshop with another adjoining and a small house with a vault
Casa e Bottegha da mercante,house and merchant shop
inviamento di frutarol,sending of fruit grower
bottega d'orese,goldsmith's shop
casa e bottega marcer e spiciale da medicina,house and shop of silk merchant and medicine specialist
Casa Grande,big house
Caset,small houses
Casa in soler propria,house on own ground
inviamento bottega da naranzer,sending shop from orange seller
bottega da mascarer e casa,mask maker's shop and house
"Casa, e Bottegha da Medicine","house, and medicine shop"
bottega da marangon e casa,carpenter's workshop and house
Libertà 3,freedom 3
Casa propria de uso,own house for use
Bottega d'Orefice,goldsmith's shop
altra metà di casa,other half of the house
"Porzione di Casa, Bottega e Volta","portion of house, shop and vault"
Bottega da Biaveriol,biaveriol's workshop
Botegha da fabro,blacksmith's shop
"casa, pepian e due soleri","house, pepper field and two sunny places"
Bottega di naranzer,orange shop
"Bottegha da Marzer, Posto d'Inviamento da Luganegher","marzer's shop, luganegher's dispatch station"
"Casa in soler, 2° apartamento","house in soler, 2nd apartment"
porzione di casa inafittata,unleased portion of the house
Tre case,three houses
bottega da capeller,hat shop
Due casette a papian,two little houses in papian
bottega di erbariol e inviamento,herbalist's shop and sending
Casa e Bottega Bombaser,bombaser house and shop
Casa voda,water house
"Bottega di Masteller, et apartamento di Casa in soler","masteller's workshop, and apartment of house in soler"
casa sopra la scola,house above the school
Casa di residenza del Signor Piovan,residence of mr. piovan
Palazzo Vuoto con Orto,empty palace with garden
casa in faccia,house opposite
Caliran Coen,caliran coen
Bastion da Magasen,magasen bastion
Casa e Bottegha da mazer,house and shop for making mazes
